,S,I,R
2020-01-27,5800000,0,0
2020-01-28,5800000,0,0
2020-01-29,5800000,0,0
2020-01-30,5800000,0,0
2020-01-31,5800000,0,0
2020-02-01,5800000,0,0
2020-02-02,5800000,0,0
2020-02-03,5800000,0,0
2020-02-04,5800000,0,0
2020-02-05,5800000,0,0
2020-02-06,5800000,0,0
2020-02-07,5800000,0,0
2020-02-08,5800000,0,0
2020-02-09,5800000,0,0
2020-02-10,5800000,0,0
2020-02-11,5800000,0,0
2020-02-12,5800000,0,0
2020-02-13,5800000,0,0
2020-02-14,5800000,0,0
2020-02-15,5800000,0,0
2020-02-16,5800000,0,0
2020-02-17,5800000,0,0
2020-02-18,5800000,0,0
2020-02-19,5800000,0,0
2020-02-20,5800000,0,0
2020-02-21,5800000,0,0
2020-02-22,5800000,0,0
2020-02-23,5800000,0,0
2020-02-24,5800000,0,0
2020-02-25,5800000,0,0
2020-02-26,5799999,0,1
2020-02-27,5799998,1,1
2020-02-28,5799997,2,1
2020-02-29,5799997,3,0
2020-03-01,5799996,3,1
2020-03-02,5799992,4,4
2020-03-03,5799987,8,5
2020-03-04,5799984,13,3
2020-03-05,5799974,16,10
2020-03-06,5799972,26,2
2020-03-07,5799963,27,10
2020-03-08,5799915,35,50
2020-03-09,5799705,82,213
2020-03-10,5799449,292,259
2020-03-11,5799242,547,211
2020-03-12,5799198,750,52
2020-03-13,5799165,789,46
2020-03-14,5799128,819,53
2020-03-15,5799083,846,71
2020-03-16,5799009,889,102
2020-03-17,5798933,954,113
2020-03-18,5798850,982,168
2020-03-19,5798743,855,402
2020-03-20,5798640,706,654
2020-03-21,5798592,602,806
2020-03-22,5798530,606,864
2020-03-23,5798398,635,967
2020-03-24,5798259,730,1011
2020-03-25,5798108,824,1068
2020-03-26,5797937,901,1162
2020-03-27,5797720,996,1284
2020-03-28,5797520,1130,1350
2020-03-29,5797392,1223,1385
2020-03-30,5797079,1248,1673
2020-03-31,5796824,1513,1663
2020-04-01,5796542,1706,1752
2020-04-02,5796160,1856,1984
2020-04-03,5795687,2099,2214
2020-04-04,5795375,2421,2204
2020-04-05,5795217,2562,2221
2020-04-06,5794793,2503,2704
2020-04-07,5794446,2727,2827
2020-04-08,5794145,2946,2909
2020-04-09,5794005,2934,3061
2020-04-10,5793863,2819,3318
2020-04-11,5793723,2679,3598
2020-04-12,5793566,2437,3997
2020-04-13,5793410,2121,4469
2020-04-14,5793152,1965,4883
2020-04-15,5792953,2065,4982
2020-04-16,5792775,1840,5385
2020-04-17,5792607,1671,5722
2020-04-18,5792501,1538,5961
2020-04-19,5792387,1504,6109
2020-04-20,5792172,1476,6352
2020-04-21,5791970,1551,6479
2020-04-22,5791741,1596,6663
2020-04-23,5791509,1669,6822
2020-04-24,5791344,1643,7013
2020-04-25,5791208,1609,7183
2020-04-26,5791087,1567,7346
2020-04-27,5790868,1520,7612
2020-04-28,5790732,1633,7635
2020-04-29,5790592,1655,7753
2020-04-30,5790443,1580,7977
2020-05-01,5790291,1527,8182
2020-05-02,5790174,1450,8376
2020-05-03,5790096,1335,8569
2020-05-04,5789972,1248,8780
2020-05-05,5789849,1236,8915
2020-05-06,5789742,1238,9020
2020-05-07,5789619,1126,9255
2020-05-08,5789550,1113,9337
2020-05-09,5789484,1042,9474
2020-05-10,5789424,959,9617
2020-05-11,5789345,867,9788
2020-05-12,5789287,829,9884
2020-05-13,5789216,809,9975
2020-05-14,5789152,756,10092
2020-05-15,5789061,697,10242
2020-05-16,5789026,681,10293
2020-05-17,5788976,593,10431
2020-05-18,5788894,574,10532
2020-05-19,5788831,590,10579
2020-05-20,5788759,593,10648
2020-05-21,5788728,586,10686
2020-05-22,5788655,559,10786
2020-05-23,5788619,561,10820
2020-05-24,5788583,533,10884
2020-05-25,5788531,478,10991
2020-05-26,5788468,495,11037
2020-05-27,5788416,508,11076
2020-05-28,5788377,478,11145
2020-05-29,5788331,454,11215
2020-05-30,5788298,428,11274
2020-05-31,5788276,430,11294
2020-06-01,5788240,379,11381
2020-06-02,5788184,379,11437
2020-06-03,5788131,399,11470
2020-06-04,5788089,400,11511
2020-06-05,5788054,379,11567
2020-06-06,5788039,362,11599
2020-06-07,5788025,338,11637
2020-06-08,5787979,306,11715
2020-06-09,5787951,319,11730
2020-06-10,5787911,325,11764
2020-06-11,5787862,329,11809
2020-06-12,5787802,322,11876
2020-06-13,5787775,329,11896
2020-06-14,5787753,314,11933
2020-06-15,5787713,301,11986
2020-06-16,5787667,326,12007
2020-06-17,5787591,358,12051
2020-06-18,5787545,388,12067
2020-06-19,5787501,406,12093
2020-06-20,5787463,410,12127
2020-06-21,5787430,399,12171
2020-06-22,5787384,372,12244
2020-06-23,5787365,391,12244
2020-06-24,5787320,388,12292
2020-06-25,5787288,393,12319
2020-06-26,5787265,379,12356
2020-06-27,5787246,326,12428
2020-06-28,5787235,299,12466
2020-06-29,5787205,266,12529
2020-06-30,5787181,258,12561
2020-07-01,5787169,249,12582
2020-07-02,5787154,215,12631
2020-07-03,5787136,211,12653
2020-07-04,5787123,184,12693
2020-07-05,5787112,165,12723
2020-07-06,5787103,153,12744
2020-07-07,5787090,143,12767
2020-07-08,5787064,145,12791
2020-07-09,5787023,141,12836
2020-07-10,5786989,158,12853
2020-07-11,5786965,180,12855
2020-07-12,5786943,189,12868
2020-07-13,5786910,193,12897
2020-07-14,5786876,213,12911
2020-07-15,5786834,236,12930
2020-07-16,5786782,269,12949
2020-07-17,5786750,308,12942
2020-07-18,5786707,314,12979
2020-07-19,5786679,316,13005
2020-07-20,5786647,310,13043
2020-07-21,5786610,318,13072
2020-07-22,5786575,333,13092
2020-07-23,5786521,335,13144
2020-07-24,5786484,355,13161
2020-07-25,5786457,350,13193
2020-07-26,5786433,325,13242
2020-07-27,5786369,317,13314
2020-07-28,5786291,338,13371
2020-07-29,5786226,388,13386
2020-07-30,5786142,421,13437
2020-07-31,5786084,468,13448
2020-08-01,5786020,491,13489
2020-08-02,5785942,501,13557
2020-08-03,5785824,542,13634
2020-08-04,5785702,633,13665
2020-08-05,5785584,731,13685
2020-08-06,5785410,785,13805
2020-08-07,5785267,881,13852
2020-08-08,5785177,959,13864
2020-08-09,5785047,965,13988
2020-08-10,5784892,1037,14071
2020-08-11,5784756,1128,14116
2020-08-12,5784595,1186,14219
2020-08-13,5784479,1229,14292
2020-08-14,5784367,1223,14410
2020-08-15,5784240,1217,14543
2020-08-16,5784150,1170,14680
2020-08-17,5784054,1117,14829
2020-08-18,5783940,1123,14937
2020-08-19,5783853,1107,15040
2020-08-20,5783766,1039,15195
2020-08-21,5783678,990,15332
2020-08-22,5783589,917,15494
2020-08-23,5783514,890,15596
2020-08-24,5783439,853,15708
2020-08-25,5783356,801,15843
2020-08-26,5783276,794,15930
2020-08-27,5783205,778,16017
2020-08-28,5783096,735,16169
2020-08-29,5783007,757,16236
2020-08-30,5782903,759,16338
2020-08-31,5782782,775,16443
2020-09-01,5782581,807,16612
2020-09-02,5782422,933,16645
2020-09-03,5782228,1017,16755
2020-09-04,5782023,1128,16849
2020-09-05,5781825,1253,16922
2020-09-06,5781601,1380,17019
2020-09-07,5781304,1495,17201
2020-09-08,5780975,1703,17322
2020-09-09,5780681,1928,17391
2020-09-10,5780310,2101,17589
2020-09-11,5779962,2271,17767
2020-09-12,5779660,2460,17880
2020-09-13,5779364,2568,18068
2020-09-14,5778981,2659,18360
2020-09-15,5778542,2844,18614
2020-09-16,5777983,3059,18958
2020-09-17,5777466,3321,19213
2020-09-18,5776989,3509,19502
2020-09-19,5776568,3692,19740
2020-09-20,5776157,3742,20101
2020-09-21,5775619,3805,20576
2020-09-22,5775028,4041,20931
2020-09-23,5774374,4336,21290
2020-09-24,5773767,4607,21626
2020-09-25,5773279,4775,21946
