,S,I,R
2020-01-27,,0.0,
2020-01-28,,,
2020-01-29,,,
2020-01-30,,,
2020-01-31,,,
2020-02-01,,,
2020-02-02,,,
2020-02-03,,,
2020-02-04,,,
2020-02-05,,,
2020-02-06,,,
2020-02-07,,,
2020-02-08,,,
2020-02-09,,,
2020-02-10,,,
2020-02-11,,,
2020-02-12,,,
2020-02-13,,,
2020-02-14,,,
2020-02-15,,,
2020-02-16,,,
2020-02-17,,,
2020-02-18,,,
2020-02-19,,,
2020-02-20,,,
2020-02-21,,,
2020-02-22,,,
2020-02-23,,,
2020-02-24,,,
2020-02-25,,,
2020-02-26,,,
2020-02-27,,,
2020-02-28,,,
2020-02-29,,,
2020-03-01,,,
2020-03-02,,,
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,1671.0,
2020-04-18,,1538.0,
2020-04-19,,1504.0,
2020-04-20,,1476.0,
2020-04-21,,1551.0,
2020-04-22,,1596.0,
2020-04-23,,1669.0,
2020-04-24,,1643.0,
2020-04-25,,1609.0,
2020-04-26,,1567.0,
2020-04-27,,1520.0,
2020-04-28,,1633.0,
2020-04-29,,1655.0,
2020-04-30,,1580.0,
2020-05-01,,1527.0,
2020-05-02,,1450.0,
2020-05-03,,1335.0,
2020-05-04,,1248.0,
2020-05-05,,1236.0,
2020-05-06,,1238.0,
2020-05-07,,1126.0,
2020-05-08,,1113.0,
2020-05-09,,1042.0,
2020-05-10,,960.0,
2020-05-11,,868.0,
2020-05-12,,830.0,
2020-05-13,,810.0,
2020-05-14,,757.0,
2020-05-15,,698.0,
2020-05-16,,682.0,
2020-05-17,,594.0,
2020-05-18,,575.0,
2020-05-19,,590.0,
2020-05-20,,593.0,
2020-05-21,,586.0,
2020-05-22,,559.0,
2020-05-23,,561.0,
2020-05-24,,533.0,
2020-05-25,,478.0,
2020-05-26,,495.0,
2020-05-27,,508.0,
2020-05-28,,478.0,
2020-05-29,,454.0,
