,S,I1,I2,I3,R1,R2,R3
2020-01-27,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-01-28,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-01-29,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-01-30,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-01-31,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-01,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-02,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-03,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-04,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-05,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-06,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-07,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-08,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-09,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-10,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-11,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-12,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-13,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-14,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-15,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-16,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-17,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-18,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-19,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-20,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-21,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-22,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-23,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-24,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-25,5813298.0,0,0.0,0.0,0.0,0.0,0.0
2020-02-26,5813297.0,0,0.0,0.0,1.0,0.0,0.0
2020-02-27,5813296.0,1,0.0,0.0,1.0,0.0,0.0
2020-02-28,5813295.0,2,0.0,0.0,1.0,0.0,0.0
2020-02-29,5813295.0,3,0.0,0.0,0.0,0.0,0.0
2020-03-01,5813294.0,3,626.0,0.0,-625.0,0.0,0.0
2020-03-02,5813290.0,4,591.0,0.0,-587.0,0.0,0.0
2020-03-03,5813285.0,8,540.0,0.0,-535.0,0.0,0.0
2020-03-04,5813282.0,13,508.0,0.0,-505.0,0.0,0.0
2020-03-05,5813272.0,16,512.0,0.0,-502.0,0.0,0.0
2020-03-06,5813270.0,26,471.0,0.0,-469.0,0.0,0.0
2020-03-07,5813261.0,27,454.0,0.0,-444.0,0.0,0.0
2020-03-08,5813213.0,35,427.0,0.0,-377.0,0.0,0.0
2020-03-09,5813003.0,82,386.0,0.0,-173.0,0.0,0.0
2020-03-10,5812747.0,292,341.0,0.0,-82.0,0.0,0.0
2020-03-11,5812540.0,547,327.0,0.0,-117.0,0.0,1.0
2020-03-12,5812496.0,750,336.0,0.0,-285.0,0.0,1.0
2020-03-13,5812463.0,789,315.0,0.0,-270.0,0.0,1.0
2020-03-14,5812426.0,819,292.0,0.0,-241.0,0.0,2.0
2020-03-15,5812381.0,846,291.0,0.0,-224.0,0.0,4.0
2020-03-16,5812307.0,889,284.0,12.307692307692308,-199.30769230769232,0.0,5.0
2020-03-17,5812231.0,954,284.0,10.76923076923077,-187.76923076923077,0.0,6.0
2020-03-18,5812148.0,982,286.0,24.615384615384617,-152.6153846153846,0.0,10.0
2020-03-19,5812041.0,855,297.0,33.84615384615385,56.15384615384615,0.0,15.0
2020-03-20,5811938.0,706,296.0,36.92307692307693,302.0769230769231,0.0,19.0
2020-03-21,5811890.0,602,284.0,43.07692307692308,456.9230769230769,0.0,22.0
2020-03-22,5811828.0,606,276.0,46.15384615384615,516.8461538461538,0.0,25.0
2020-03-23,5811696.0,635,270.0,49.23076923076923,616.7692307692307,0.0,31.0
2020-03-24,5811557.0,730,269.0,60.0,645.0,0.0,37.0
2020-03-25,5811406.0,824,263.0,73.84615384615385,688.1538461538462,0.0,43.0
2020-03-26,5811235.0,901,244.0,83.07692307692308,779.9230769230769,0.0,55.0
2020-03-27,5811018.0,996,226.0,92.3076923076923,898.6923076923077,0.0,67.0
2020-03-28,5810818.0,1130,205.0,106.15384615384616,962.8461538461538,0.0,76.0
2020-03-29,5810690.0,1223,192.0,115.38461538461539,993.6153846153846,0.0,84.0
2020-03-30,5810377.0,1248,183.0,130.76923076923077,1264.2307692307693,0.0,95.0
2020-03-31,5810122.0,1513,177.0,136.92307692307693,1239.076923076923,0.0,110.0
2020-04-01,5809840.0,1706,165.0,144.6153846153846,1310.3846153846155,0.0,132.0
2020-04-02,5809458.0,1856,155.0,144.6153846153846,1534.3846153846155,0.0,150.0
2020-04-03,5808985.0,2099,140.0,140.0,1764.0,0.0,170.0
2020-04-04,5808673.0,2421,140.0,136.92307692307693,1742.076923076923,0.0,185.0
2020-04-05,5808515.0,2562,134.0,136.92307692307693,1753.076923076923,0.0,197.0
2020-04-06,5808091.0,2503,127.0,133.84615384615384,2229.153846153846,0.0,214.0
2020-04-07,5807744.0,2727,121.0,127.6923076923077,2352.3076923076924,0.0,226.0
2020-04-08,5807443.0,2946,105.0,124.61538461538463,2438.3846153846152,0.0,241.0
