"Vaccinedato","geo","Antal færdigvacc. personer","Antal borgere","Færdigvacc. (%)","Kumuleret antal færdigvacc."
2021-01-04,Nationalt,1,5847731,0.00,1
2021-01-09,Nationalt,1,5847731,0.00,2
2021-01-13,Nationalt,1,5847731,0.00,3
2021-01-15,Nationalt,5,5847731,0.00,8
2021-01-16,Nationalt,8,5847731,0.00,16
2021-01-17,Nationalt,691,5847731,0.01,707
2021-01-18,Nationalt,2092,5847731,0.05,2799
2021-01-19,Nationalt,2030,5847731,0.08,4829
2021-01-20,Nationalt,1840,5847731,0.11,6669
2021-01-21,Nationalt,2305,5847731,0.15,8974
2021-01-22,Nationalt,5616,5847731,0.25,14590
2021-01-23,Nationalt,7014,5847731,0.37,21604
2021-01-24,Nationalt,6406,5847731,0.48,28010
2021-01-25,Nationalt,2450,5847731,0.52,30460
2021-01-26,Nationalt,1709,5847731,0.55,32169
2021-01-27,Nationalt,4317,5847731,0.62,36486
2021-01-28,Nationalt,8077,5847731,0.76,44563
2021-01-29,Nationalt,18119,5847731,1.07,62682
2021-01-30,Nationalt,12742,5847731,1.29,75424
2021-01-31,Nationalt,12047,5847731,1.50,87471
2021-02-01,Nationalt,7809,5847731,1.63,95280
2021-02-02,Nationalt,2993,5847731,1.68,98273
2021-02-03,Nationalt,6144,5847731,1.79,104417
2021-02-04,Nationalt,10849,5847731,1.97,115266
2021-02-05,Nationalt,13315,5847731,2.20,128581
2021-02-06,Nationalt,6731,5847731,2.31,135312
2021-02-07,Nationalt,3619,5847731,2.38,138931
2021-02-08,Nationalt,6993,5847731,2.50,145924
2021-02-09,Nationalt,4852,5847731,2.58,150776
2021-02-10,Nationalt,3884,5847731,2.64,154660
2021-02-11,Nationalt,2452,5847731,2.69,157112
2021-02-12,Nationalt,7619,5847731,2.82,164731
2021-02-13,Nationalt,968,5847731,2.83,165699
2021-02-14,Nationalt,625,5847731,2.84,166324
2021-02-15,Nationalt,3130,5847731,2.90,169454
2021-02-16,Nationalt,1335,5847731,2.92,170789
2021-02-17,Nationalt,427,5847731,2.93,171216
2021-02-18,Nationalt,309,5847731,2.93,171525
2021-02-19,Nationalt,968,5847731,2.95,172493
2021-02-20,Nationalt,583,5847731,2.96,173076
2021-02-21,Nationalt,362,5847731,2.97,173438
2021-02-22,Nationalt,1106,5847731,2.98,174544
2021-02-23,Nationalt,1942,5847731,3.02,176486
2021-02-24,Nationalt,1954,5847731,3.05,178440
2021-02-25,Nationalt,634,5847731,3.06,179074
2021-02-26,Nationalt,1008,5847731,3.08,180082
2021-02-27,Nationalt,1452,5847731,3.10,181534
2021-02-28,Nationalt,1417,5847731,3.13,182951
2021-03-01,Nationalt,1070,5847731,3.15,184021
2021-03-02,Nationalt,1304,5847731,3.17,185325
2021-03-03,Nationalt,1032,5847731,3.19,186357
2021-03-04,Nationalt,1814,5847731,3.22,188171
2021-03-05,Nationalt,5713,5847731,3.32,193884
2021-03-06,Nationalt,3986,5847731,3.38,197870
2021-03-07,Nationalt,4338,5847731,3.46,202208
2021-03-08,Nationalt,6463,5847731,3.57,208671
2021-03-09,Nationalt,7244,5847731,3.69,215915
2021-03-10,Nationalt,7263,5847731,3.82,223178
2021-03-11,Nationalt,8030,5847731,3.95,231208
2021-03-12,Nationalt,10630,5847731,4.14,241838
2021-03-13,Nationalt,5934,5847731,4.24,247772
2021-03-14,Nationalt,9394,5847731,4.40,257166
2021-03-15,Nationalt,9908,5847731,4.57,267074
2021-03-16,Nationalt,9498,5847731,4.73,276572
2021-03-17,Nationalt,9208,5847731,4.89,285780
2021-03-18,Nationalt,7269,5847731,5.01,293049
2021-03-19,Nationalt,11799,5847731,5.21,304848
2021-03-20,Nationalt,4845,5847731,5.30,309693
2021-03-21,Nationalt,4684,5847731,5.38,314377
2021-03-22,Nationalt,7805,5847731,5.51,322182
2021-03-23,Nationalt,7611,5847731,5.64,329793
2021-03-24,Nationalt,13520,5847731,5.87,343313
2021-03-25,Nationalt,8463,5847731,6.02,351776
2021-03-26,Nationalt,7887,5847731,6.15,359663
2021-03-27,Nationalt,3134,5847731,6.20,362797
2021-03-28,Nationalt,2824,5847731,6.25,365621
2021-03-29,Nationalt,6240,5847731,6.36,371861
2021-03-30,Nationalt,6092,5847731,6.46,377953
2021-03-31,Nationalt,9846,5847731,6.63,387799
2021-04-01,Nationalt,6974,5847731,6.75,394773
2021-04-02,Nationalt,7041,5847731,6.87,401814
2021-04-03,Nationalt,2195,5847731,6.91,404009
2021-04-04,Nationalt,1793,5847731,6.94,405802
2021-04-05,Nationalt,1331,5847731,6.96,407133
2021-04-06,Nationalt,6147,5847731,7.07,413280
2021-04-07,Nationalt,8330,5847731,7.21,421610
2021-04-08,Nationalt,8642,5847731,7.36,430252
2021-04-09,Nationalt,8750,5847731,7.51,439002
2021-04-10,Nationalt,5477,5847731,7.60,444479
2021-04-11,Nationalt,3939,5847731,7.67,448418
2021-04-12,Nationalt,11574,5847731,7.87,459992
2021-04-13,Nationalt,6283,5847731,7.97,466275
2021-04-14,Nationalt,11226,5847731,8.17,477501
2021-04-15,Nationalt,9161,5847731,8.32,486662
2021-04-16,Nationalt,8234,5847731,8.46,494896
2021-04-17,Nationalt,2753,5847731,8.51,497649
2021-04-18,Nationalt,5159,5847731,8.60,502808
2021-04-19,Nationalt,14452,5847731,8.85,517260
2021-04-20,Nationalt,17062,5847731,9.14,534322
2021-04-21,Nationalt,12829,5847731,9.36,547151
2021-04-22,Nationalt,5415,5847731,9.45,552566
2021-04-23,Nationalt,11263,5847731,9.64,563829
2021-04-24,Nationalt,7625,5847731,9.77,571454
2021-04-25,Nationalt,5295,5847731,9.86,576749
2021-04-26,Nationalt,7886,5847731,10.0,584635
2021-04-27,Nationalt,20955,5847731,10.4,605590
2021-04-28,Nationalt,20654,5847731,10.7,626244
2021-04-29,Nationalt,17987,5847731,11.0,644231
2021-04-30,Nationalt,3955,5847731,11.1,648186
2021-05-01,Nationalt,6134,5847731,11.2,654320
2021-05-02,Nationalt,13810,5847731,11.4,668130
2021-05-03,Nationalt,45803,5847731,12.2,713933
2021-05-04,Nationalt,24827,5847731,12.6,738760
2021-05-05,Nationalt,29300,5847731,13.1,768060
2021-05-06,Nationalt,25592,5847731,13.6,793652
2021-05-07,Nationalt,24646,5847731,14.0,818298
2021-05-08,Nationalt,30879,5847731,14.5,849177
2021-05-09,Nationalt,16721,5847731,14.8,865898
2021-05-10,Nationalt,36173,5847731,15.4,902071
2021-05-11,Nationalt,26287,5847731,15.9,928358
2021-05-12,Nationalt,27014,5847731,16.3,955372
2021-05-13,Nationalt,19700,5847731,16.7,975072
2021-05-14,Nationalt,30814,5847731,17.2,1005886
2021-05-15,Nationalt,19472,5847731,17.5,1025358
2021-05-16,Nationalt,14086,5847731,17.8,1039444
2021-05-17,Nationalt,30178,5847731,18.3,1069622
2021-05-18,Nationalt,30811,5847731,18.8,1100433
2021-05-19,Nationalt,22661,5847731,19.2,1123094
2021-05-20,Nationalt,22347,5847731,19.6,1145441
2021-05-21,Nationalt,19266,5847731,19.9,1164707
2021-05-22,Nationalt,11894,5847731,20.1,1176601
2021-05-23,Nationalt,6189,5847731,20.2,1182790
2021-05-24,Nationalt,9709,5847731,20.4,1192499
2021-05-25,Nationalt,12873,5847731,20.6,1205372
2021-05-26,Nationalt,12116,5847731,20.8,1217488
2021-05-27,Nationalt,12394,5847731,21.0,1229882
2021-05-28,Nationalt,9725,5847731,21.2,1239607
2021-05-29,Nationalt,5212,5847731,21.3,1244819
2021-05-30,Nationalt,6960,5847731,21.4,1251779
2021-05-31,Nationalt,21503,5847731,21.8,1273282
2021-06-01,Nationalt,17665,5847731,22.1,1290947
2021-06-02,Nationalt,17378,5847731,22.4,1308325
2021-06-03,Nationalt,23721,5847731,22.8,1332046
2021-06-04,Nationalt,14284,5847731,23.0,1346330
2021-06-05,Nationalt,7523,5847731,23.2,1353853
2021-06-06,Nationalt,15151,5847731,23.4,1369004
2021-06-07,Nationalt,21684,5847731,23.8,1390688
2021-06-08,Nationalt,24669,5847731,24.2,1415357
2021-06-09,Nationalt,24198,5847731,24.6,1439555
