"dato","kommunenavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-10,København,K,106965,63764,104786,62281,2179,1483
2021-06-10,København,M,96302,50122,93824,48282,2478,1840
2021-06-10,Frederiksberg,K,23506,14946,23104,14618,402,328
2021-06-10,Frederiksberg,M,19049,10567,18658,10214,391,353
2021-06-10,Ballerup,K,12380,7847,12206,7722,174,125
2021-06-10,Ballerup,M,10340,5413,10149,5307,191,106
2021-06-10,Brøndby,K,8468,5368,8382,5279,86,89
2021-06-10,Brøndby,M,7142,3903,7054,3809,88,94
2021-06-10,Dragør,K,4089,2526,4049,2473,40,53
2021-06-10,Dragør,M,3665,2009,3626,1948,39,61
2021-06-10,Gentofte,K,20334,12028,20088,11728,246,300
2021-06-10,Gentofte,M,17117,8816,16851,8471,266,345
2021-06-10,Gladsaxe,K,16066,10008,15859,9842,207,166
2021-06-10,Gladsaxe,M,13559,7022,13274,6800,285,222
2021-06-10,Glostrup,K,5707,3704,5639,3638,68,66
2021-06-10,Glostrup,M,4727,2461,4653,2424,74,37
2021-06-10,Herlev,K,7115,4693,7041,4630,74,63
2021-06-10,Herlev,M,5732,3105,5643,3023,89,82
2021-06-10,Albertslund,K,6273,3965,6204,3913,69,52
2021-06-10,Albertslund,M,5351,2871,5270,2801,81,70
2021-06-10,Hvidovre,K,12560,7941,12393,7780,167,161
2021-06-10,Hvidovre,M,10658,5626,10465,5481,193,145
2021-06-10,Høje Tåstrup,K,11812,7258,11664,7157,148,101
2021-06-10,Høje Tåstrup,M,10478,5373,10285,5283,193,90
2021-06-10,Lyngby-Taarbæk,K,14727,8974,14468,8783,259,191
2021-06-10,Lyngby-Taarbæk,M,12232,6284,11919,6084,313,200
2021-06-10,Rødovre,K,9740,6251,9623,6140,117,111
2021-06-10,Rødovre,M,7945,4174,7793,4048,152,126
