"Vaccinedato","geo","Antal påbegyndt vacc. personer","Antal borgere","Påbegyndtvacc. (%)","Kumuleret antal påbegyndt vacc."
2020-12-17,Nationalt,1,5847731,0.00,1
2020-12-19,Nationalt,1,5847731,0.00,2
2020-12-21,Nationalt,1,5847731,0.00,3
2020-12-22,Nationalt,1,5847731,0.00,4
2020-12-23,Nationalt,3,5847731,0.00,7
2020-12-24,Nationalt,1,5847731,0.00,8
2020-12-26,Nationalt,1,5847731,0.00,9
2020-12-27,Nationalt,6295,5847731,0.11,6304
2020-12-28,Nationalt,2003,5847731,0.14,8307
2020-12-29,Nationalt,8722,5847731,0.29,17029
2020-12-30,Nationalt,11163,5847731,0.48,28192
2020-12-31,Nationalt,5978,5847731,0.58,34170
2021-01-01,Nationalt,2274,5847731,0.62,36444
2021-01-02,Nationalt,8587,5847731,0.77,45031
2021-01-03,Nationalt,5781,5847731,0.87,50812
2021-01-04,Nationalt,2397,5847731,0.91,53209
2021-01-05,Nationalt,13146,5847731,1.13,66355
2021-01-06,Nationalt,19186,5847731,1.46,85541
2021-01-07,Nationalt,16994,5847731,1.75,102535
2021-01-08,Nationalt,8228,5847731,1.89,110763
2021-01-09,Nationalt,1877,5847731,1.93,112640
2021-01-10,Nationalt,816,5847731,1.94,113456
2021-01-11,Nationalt,659,5847731,1.95,114115
2021-01-12,Nationalt,465,5847731,1.96,114580
2021-01-13,Nationalt,12565,5847731,2.17,127145
2021-01-14,Nationalt,17632,5847731,2.48,144777
2021-01-15,Nationalt,14943,5847731,2.73,159720
2021-01-16,Nationalt,4522,5847731,2.81,164242
2021-01-17,Nationalt,2448,5847731,2.85,166690
2021-01-18,Nationalt,3783,5847731,2.92,170473
2021-01-19,Nationalt,2435,5847731,2.96,172908
2021-01-20,Nationalt,1480,5847731,2.98,174388
2021-01-21,Nationalt,1495,5847731,3.01,175883
2021-01-22,Nationalt,655,5847731,3.02,176538
2021-01-23,Nationalt,726,5847731,3.03,177264
2021-01-24,Nationalt,592,5847731,3.04,177856
2021-01-25,Nationalt,274,5847731,3.05,178130
2021-01-26,Nationalt,209,5847731,3.05,178339
2021-01-27,Nationalt,201,5847731,3.05,178540
2021-01-28,Nationalt,217,5847731,3.06,178757
2021-01-29,Nationalt,1086,5847731,3.08,179843
2021-01-30,Nationalt,1182,5847731,3.10,181025
2021-01-31,Nationalt,1189,5847731,3.12,182214
2021-02-01,Nationalt,747,5847731,3.13,182961
2021-02-02,Nationalt,1996,5847731,3.16,184957
2021-02-03,Nationalt,1510,5847731,3.19,186467
2021-02-04,Nationalt,1402,5847731,3.21,187869
2021-02-05,Nationalt,1563,5847731,3.24,189432
2021-02-06,Nationalt,1004,5847731,3.26,190436
2021-02-07,Nationalt,1873,5847731,3.29,192309
2021-02-08,Nationalt,2510,5847731,3.33,194819
2021-02-09,Nationalt,3516,5847731,3.39,198335
2021-02-10,Nationalt,3263,5847731,3.45,201598
2021-02-11,Nationalt,5677,5847731,3.54,207275
