"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,203267,113886,638879
Frederiksberg,42555,25513,102982
Ballerup,22720,13260,49033
Brøndby,15610,9271,35444
Dragør,7754,4535,14584
Gentofte,37451,20844,74253
Gladsaxe,29625,17030,68893
Glostrup,10434,6165,23497
Herlev,12847,7798,28798
Albertslund,11624,6836,27140
Hvidovre,23218,13567,53247
Høje-Taastrup,22290,12631,52395
Lyngby-Taarbæk,26959,15258,57060
Rødovre,17685,10425,41203
Ishøj,9108,5345,23057
Tårnby,19692,11304,42687
Vallensbæk,7324,4302,16566
Furesø,20519,11865,41132
Allerød,13276,7343,25926
Fredensborg,20556,12549,41003
Helsingør,32033,20285,63127
Hillerød,25257,14751,51976
Hørsholm,13931,8564,24804
Rudersdal,29346,16751,57125
Egedal,21597,11465,44050
Frederikssund,24721,14456,45769
Greve,22182,12677,50668
Køge,27415,14768,61621
Frederiksværk-Hundested,16932,11159,31463
Roskilde,40663,21235,88870
Solrød,10175,5563,23463
Gribskov,22870,14459,41202
Odsherred,18714,10760,32950
Holbæk,36380,18428,72333
Faxe,17285,9126,36934
Kalundborg,24909,12454,48394
Ringsted,14567,7263,35039
Slagelse,39461,20603,79513
Stevns,11313,6357,23269
Sorø,15237,7585,29934
Lejre,14038,7459,28440
Lolland,21793,11483,40338
Næstved,40388,20745,83429
Guldborgsund,33433,17860,60413
Vordingborg,23794,12914,45290
Bornholm,24529,14275,39788
Middelfart,18128,10807,39399
Assens,19517,10899,40828
Faaborg-Midtfyn,24627,14030,51726
Kerteminde,11808,6813,23863
Nyborg,14712,8585,32042
Odense,80030,47104,204881
Svendborg,28360,16624,58862
Nordfyns,14022,7862,29575
Langeland,6824,4053,12343
Ærø,3209,2193,6005
Haderslev,23010,12915,55393
Billund,10978,6264,26542
Sønderborg,35327,18228,73734
Tønder,16667,8789,37010
Esbjerg,55188,29296,115516
Fanø,2108,1224,3448
Varde,24634,12894,49723
Vejen,17041,9991,42801
Aabenraa,26833,13491,58547
Fredericia,21738,12863,51443
Horsens,37140,20665,92987
Kolding,35138,20672,93042
Vejle,47049,27009,117903
Herning,38523,21690,89351
Holstebro,26159,14724,58629
Lemvig,10514,5819,19520
Struer,10688,6050,20814
Syddjurs,21547,11882,43464
Norddjurs,18311,10462,36990
Favrskov,21030,11296,48605
Odder,11202,6190,23043
Randers,41982,23834,98465
Silkeborg,41685,23159,96263
Samsø,2324,1459,3698
Skanderborg,27274,14302,63744
Århus,127696,68888,352439
Ikast-Brande,18058,10099,41687
Ringkøbing-Skjern,27293,14368,56299
Hedensted,20793,11425,46944
Morsø,9750,5766,20081
Skive,22251,13021,45283
Thisted,19812,11499,43109
Viborg,43012,25444,96640
Brønderslev-Dronninglund,15040,9096,36080
Frederikshavn,28581,17664,58968
Vesthimmerlands,16610,10150,36357
Læsø,1410,834,1777
Rebild,12139,7291,30537
Mariagerfjord,18919,11347,41553
Jammerbugt,16428,9769,38195
Ålborg,81873,47997,219552
Hjørring,28449,17587,64050
