"Vaccinedato","Regionsnavn","Kumulerede antal færdigvacc.","Antal borgere","Vaccinations dækning (%)"
2021-01-04,Hovedstaden,0,1857083,0.00
2021-01-09,Hovedstaden,1,1857083,0.00
2021-01-13,Hovedstaden,2,1857083,0.00
2021-01-15,Hovedstaden,7,1857083,0.00
2021-01-16,Hovedstaden,7,1857083,0.00
2021-01-17,Hovedstaden,45,1857083,0.00
2021-01-18,Hovedstaden,181,1857083,0.01
2021-01-19,Hovedstaden,347,1857083,0.02
2021-01-20,Hovedstaden,472,1857083,0.03
2021-01-21,Hovedstaden,587,1857083,0.03
2021-01-22,Hovedstaden,663,1857083,0.04
2021-01-23,Hovedstaden,4774,1857083,0.26
2021-01-24,Hovedstaden,8773,1857083,0.47
2021-01-25,Hovedstaden,9018,1857083,0.49
2021-01-26,Hovedstaden,9155,1857083,0.49
2021-01-27,Hovedstaden,9786,1857083,0.53
2021-01-28,Hovedstaden,13553,1857083,0.73
2021-01-29,Hovedstaden,21092,1857083,1.14
2021-01-30,Hovedstaden,25688,1857083,1.38
2021-01-31,Hovedstaden,28301,1857083,1.52
2021-02-01,Hovedstaden,30191,1857083,1.63
2021-02-02,Hovedstaden,30303,1857083,1.63
2021-02-03,Hovedstaden,33286,1857083,1.79
2021-02-04,Hovedstaden,39777,1857083,2.14
2021-02-05,Hovedstaden,44654,1857083,2.40
2021-02-06,Hovedstaden,47679,1857083,2.57
2021-02-07,Hovedstaden,48249,1857083,2.60
2021-02-08,Hovedstaden,49385,1857083,2.66
2021-02-09,Hovedstaden,49417,1857083,2.66
2021-02-10,Hovedstaden,50354,1857083,2.71
2021-02-11,Hovedstaden,50594,1857083,2.72
2021-02-12,Hovedstaden,54761,1857083,2.95
2021-02-13,Hovedstaden,54768,1857083,2.95
2021-02-14,Hovedstaden,54779,1857083,2.95
2021-02-15,Hovedstaden,56156,1857083,3.02
2021-02-16,Hovedstaden,56569,1857083,3.05
2021-02-17,Hovedstaden,56601,1857083,3.05
2021-02-18,Hovedstaden,56673,1857083,3.05
2021-02-19,Hovedstaden,56723,1857083,3.05
2021-02-20,Hovedstaden,56823,1857083,3.06
2021-02-21,Hovedstaden,56928,1857083,3.07
2021-02-22,Hovedstaden,57073,1857083,3.07
2021-02-23,Hovedstaden,57225,1857083,3.08
2021-02-24,Hovedstaden,57289,1857083,3.08
2021-02-25,Hovedstaden,57321,1857083,3.09
2021-02-26,Hovedstaden,57382,1857083,3.09
2021-02-27,Hovedstaden,58499,1857083,3.15
2021-02-28,Hovedstaden,59648,1857083,3.21
2021-03-01,Hovedstaden,59869,1857083,3.22
2021-03-02,Hovedstaden,60123,1857083,3.24
2021-03-03,Hovedstaden,60163,1857083,3.24
2021-03-04,Hovedstaden,60359,1857083,3.25
2021-03-05,Hovedstaden,60623,1857083,3.26
2021-03-06,Hovedstaden,60717,1857083,3.27
2021-03-07,Hovedstaden,61038,1857083,3.29
2021-03-08,Hovedstaden,61275,1857083,3.30
2021-03-09,Hovedstaden,62742,1857083,3.38
2021-03-10,Hovedstaden,64440,1857083,3.47
2021-03-11,Hovedstaden,68855,1857083,3.71
2021-03-12,Hovedstaden,73715,1857083,3.97
2021-03-13,Hovedstaden,73800,1857083,3.97
2021-03-14,Hovedstaden,77042,1857083,4.15
2021-03-15,Hovedstaden,79811,1857083,4.30
2021-03-16,Hovedstaden,83355,1857083,4.49
2021-03-17,Hovedstaden,87800,1857083,4.73
2021-03-18,Hovedstaden,92221,1857083,4.97
2021-03-19,Hovedstaden,93393,1857083,5.03
2021-03-20,Hovedstaden,93476,1857083,5.03
2021-03-21,Hovedstaden,95567,1857083,5.15
2021-03-22,Hovedstaden,95651,1857083,5.15
2021-03-23,Hovedstaden,95754,1857083,5.16
2021-03-24,Hovedstaden,104376,1857083,5.62
2021-03-25,Hovedstaden,108928,1857083,5.87
2021-03-26,Hovedstaden,111626,1857083,6.01
2021-03-27,Hovedstaden,111668,1857083,6.01
2021-03-28,Hovedstaden,111701,1857083,6.01
2021-03-29,Hovedstaden,112263,1857083,6.05
2021-03-30,Hovedstaden,112544,1857083,6.06
2021-03-31,Hovedstaden,116355,1857083,6.27
2021-04-01,Hovedstaden,121084,1857083,6.52
2021-04-02,Hovedstaden,124821,1857083,6.72
2021-04-03,Hovedstaden,124909,1857083,6.73
2021-04-04,Hovedstaden,124949,1857083,6.73
2021-04-05,Hovedstaden,124984,1857083,6.73
2021-04-06,Hovedstaden,125168,1857083,6.74
2021-04-07,Hovedstaden,125750,1857083,6.77
2021-04-08,Hovedstaden,127429,1857083,6.86
2021-04-09,Hovedstaden,130851,1857083,7.05
2021-04-10,Hovedstaden,132150,1857083,7.12
2021-04-11,Hovedstaden,132283,1857083,7.12
2021-04-12,Hovedstaden,139172,1857083,7.49
2021-04-13,Hovedstaden,140247,1857083,7.55
2021-04-14,Hovedstaden,144806,1857083,7.80
2021-04-15,Hovedstaden,146368,1857083,7.88
2021-04-16,Hovedstaden,149413,1857083,8.05
2021-04-17,Hovedstaden,149613,1857083,8.06
2021-04-18,Hovedstaden,149793,1857083,8.07
2021-04-19,Hovedstaden,151851,1857083,8.18
2021-04-20,Hovedstaden,156872,1857083,8.45
2021-04-21,Hovedstaden,160639,1857083,8.65
2021-04-22,Hovedstaden,160774,1857083,8.66
