"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16922,8
AstraZeneca Covid-19 vaccine,Midtjylland,33784,94
AstraZeneca Covid-19 vaccine,Syddanmark,30622,388
AstraZeneca Covid-19 vaccine,Hovedstaden,45513,377
AstraZeneca Covid-19 vaccine,Sjælland,23909,344
Janssen COVID-19 vaccine,Nordjylland,1228,1228
Janssen COVID-19 vaccine,Midtjylland,3050,3050
Janssen COVID-19 vaccine,Syddanmark,2412,2412
Janssen COVID-19 vaccine,Hovedstaden,10373,10373
Janssen COVID-19 vaccine,Sjælland,1376,1376
Moderna Covid-19 Vaccine,Nordjylland,28546,7371
Moderna Covid-19 Vaccine,Midtjylland,37947,21995
Moderna Covid-19 Vaccine,Syddanmark,40797,48573
Moderna Covid-19 Vaccine,Hovedstaden,36517,33760
Moderna Covid-19 Vaccine,Sjælland,45723,42311
Pfizer BioNTech Covid-19 vacc,Nordjylland,202315,140393
Pfizer BioNTech Covid-19 vacc,Midtjylland,492701,289638
Pfizer BioNTech Covid-19 vacc,Syddanmark,463117,251233
Pfizer BioNTech Covid-19 vacc,Hovedstaden,693327,411382
Pfizer BioNTech Covid-19 vacc,Sjælland,340739,173249
