"Ugenummer","Målgruppe","Dækning førstegangsvaccinerede (kumulativt i %)","Dækning færdigvaccinerede (kumulativt i %)"
2020-W51,1. Plejehjemsbeboere,0.00,0.00
2020-W51,7. Personer fra årgang 1937-1941,0.00,0.00
2020-W52,1. Plejehjemsbeboere,5.17,0.00
2020-W52,"2. Borgere > 65, praktisk hjælp og personlig pleje",0.00,0.00
2020-W52,3. Borgere fra årgang 1936 og derunder (85 år og ældre),0.03,0.00
2020-W52,4. Personale i sundhedsvæsenet og dele af socialvæsenet,1.24,0.00
2020-W52,5. Udvalgte patienter med særligt øget risiko,0.04,0.00
2020-W52,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2020-W52,7. Personer fra årgang 1937-1941,0.00,0.00
2020-W52,8. Personer fra årgang 1942-1946,0.00,0.00
2020-W52,9. Personer fra årgang 1947-1956,0.01,0.00
2020-W52,10A. Personer fra årgang 1957-1961,0.01,0.00
2020-W52,10B. Personer fra årgang 1962-1966,0.01,0.00
2020-W52,10C. Personer fra årgang 1967-1971,0.01,0.00
2020-W52,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.00,0.00
2020-W52,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.01,0.00
2020-W52,Resterende,0.00,0.00
2020-W53,1. Plejehjemsbeboere,38.12,0.00
2020-W53,"2. Borgere > 65, praktisk hjælp og personlig pleje",0.30,0.00
2020-W53,3. Borgere fra årgang 1936 og derunder (85 år og ældre),0.24,0.00
2020-W53,4. Personale i sundhedsvæsenet og dele af socialvæsenet,10.57,0.00
2020-W53,5. Udvalgte patienter med særligt øget risiko,0.28,0.00
2020-W53,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2020-W53,7. Personer fra årgang 1937-1941,0.09,0.00
2020-W53,8. Personer fra årgang 1942-1946,0.06,0.00
2020-W53,9. Personer fra årgang 1947-1956,0.06,0.00
2020-W53,10A. Personer fra årgang 1957-1961,0.05,0.00
2020-W53,10B. Personer fra årgang 1962-1966,0.06,0.00
2020-W53,10C. Personer fra årgang 1967-1971,0.05,0.00
2020-W53,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.03,0.00
2020-W53,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.03,0.00
2020-W53,Resterende,0.01,0.00
2021-W01,1. Plejehjemsbeboere,78.29,0.00
2021-W01,"2. Borgere > 65, praktisk hjælp og personlig pleje",8.10,0.00
2021-W01,3. Borgere fra årgang 1936 og derunder (85 år og ældre),0.51,0.00
2021-W01,4. Personale i sundhedsvæsenet og dele af socialvæsenet,22.62,0.00
2021-W01,5. Udvalgte patienter med særligt øget risiko,1.17,0.00
2021-W01,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W01,7. Personer fra årgang 1937-1941,0.22,0.00
2021-W01,8. Personer fra årgang 1942-1946,0.16,0.00
2021-W01,9. Personer fra årgang 1947-1956,0.15,0.00
2021-W01,10A. Personer fra årgang 1957-1961,0.16,0.00
2021-W01,10B. Personer fra årgang 1962-1966,0.14,0.00
2021-W01,10C. Personer fra årgang 1967-1971,0.11,0.00
2021-W01,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.06,0.00
2021-W01,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.07,0.00
2021-W01,Resterende,0.03,0.00
2021-W02,1. Plejehjemsbeboere,81.07,0.67
2021-W02,"2. Borgere > 65, praktisk hjælp og personlig pleje",39.68,0.00
2021-W02,3. Borgere fra årgang 1936 og derunder (85 år og ældre),0.85,0.00
2021-W02,4. Personale i sundhedsvæsenet og dele af socialvæsenet,29.92,0.14
2021-W02,5. Udvalgte patienter med særligt øget risiko,5.46,0.00
2021-W02,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W02,7. Personer fra årgang 1937-1941,0.38,0.00
2021-W02,8. Personer fra årgang 1942-1946,0.26,0.00
2021-W02,9. Personer fra årgang 1947-1956,0.21,0.00
2021-W02,10A. Personer fra årgang 1957-1961,0.21,0.00
2021-W02,10B. Personer fra årgang 1962-1966,0.18,0.00
2021-W02,10C. Personer fra årgang 1967-1971,0.15,0.00
2021-W02,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.08,0.00
2021-W02,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.09,0.00
2021-W02,Resterende,0.04,0.00
2021-W03,1. Plejehjemsbeboere,82.93,28.06
2021-W03,"2. Borgere > 65, praktisk hjælp og personlig pleje",44.91,0.24
2021-W03,3. Borgere fra årgang 1936 og derunder (85 år og ældre),1.06,0.14
2021-W03,4. Personale i sundhedsvæsenet og dele af socialvæsenet,31.49,4.78
2021-W03,5. Udvalgte patienter med særligt øget risiko,6.15,0.12
2021-W03,7. Personer fra årgang 1937-1941,0.47,0.06
2021-W03,8. Personer fra årgang 1942-1946,0.32,0.04
2021-W03,9. Personer fra årgang 1947-1956,0.24,0.04
2021-W03,10A. Personer fra årgang 1957-1961,0.24,0.03
2021-W03,10B. Personer fra årgang 1962-1966,0.20,0.04
2021-W03,10C. Personer fra årgang 1967-1971,0.17,0.03
2021-W03,10D1. Personer fra årgang 1972-1976 og årgang 2002-2005,0.09,0.02
2021-W03,10D2. Personer fra årgang 1977-1981 og årgang 1997-2001,0.10,0.02
2021-W03,Resterende,0.05,0.01
2021-W04,1. Plejehjemsbeboere,84.40,68.44
2021-W04,"2. Borgere > 65, praktisk hjælp og personlig pleje",45.15,5.40
2021-W04,3. Borgere fra årgang 1936 og derunder (85 år og ældre),1.10,0.42
2021-W04,4. Personale i sundhedsvæsenet og dele af socialvæsenet,32.26,16.45
2021-W04,5. Udvalgte patienter med særligt øget risiko,6.47,0.90
2021-W04,7. Personer fra årgang 1937-1941,0.50,0.18
2021-W04,8. Personer fra årgang 1942-1946,0.34,0.13
2021-W04,9. Personer fra årgang 1947-1956,0.26,0.11
2021-W04,10A. Personer fra årgang 1957-1961,0.26,0.12
